model_name,data_size,learning_rate,accuracy,f1
cardiffnlp/twitter-roberta-base-sentiment,untrained_eval,untrained_eval,0.83008356545961,0.5807085489712216
cardiffnlp/twitter-roberta-base-sentiment,7500,3e-05,0.8997214484679665,0.899683308494784
cardiffnlp/twitter-roberta-base-sentiment,7500,5e-05,0.8857938718662952,0.8857619620474213
cardiffnlp/twitter-roberta-base-sentiment,7500,7e-05,0.8857938718662952,0.8856661255117022
cardiffnlp/twitter-roberta-base-sentiment,7500,9e-05,0.8857938718662952,0.8856199246221393
cardiffnlp/twitter-roberta-base-sentiment,7500,3e-06,0.9220055710306406,0.921932277104691
cardiffnlp/twitter-roberta-base-sentiment,7500,5e-06,0.9136490250696379,0.9135819724959426
cardiffnlp/twitter-roberta-base-sentiment,7500,7e-06,0.9108635097493036,0.9107797452625039
cardiffnlp/twitter-roberta-base-sentiment,7500,9e-06,0.9136490250696379,0.9136248981334161
cardiffnlp/twitter-roberta-base-sentiment,10000,3e-05,0.8913649025069638,0.8913109294580683
cardiffnlp/twitter-roberta-base-sentiment,10000,5e-05,0.8857938718662952,0.8857371309687386
cardiffnlp/twitter-roberta-base-sentiment,10000,7e-05,0.8774373259052924,0.8774363749224084
cardiffnlp/twitter-roberta-base-sentiment,10000,9e-05,0.8635097493036211,0.8634928025452993
cardiffnlp/twitter-roberta-base-sentiment,10000,3e-06,0.9220055710306406,0.9219565217391305
cardiffnlp/twitter-roberta-base-sentiment,10000,5e-06,0.9108635097493036,0.910807453416149
cardiffnlp/twitter-roberta-base-sentiment,10000,7e-06,0.9080779944289693,0.9080523109162172
cardiffnlp/twitter-roberta-base-sentiment,10000,9e-06,0.8969359331476323,0.8969231366158383
