model_name,data_size,learning_rate,accuracy,f1
cardiffnlp/twitter-roberta-base-sentiment,2500.0,1e-06,0.9108635097493036,0.6089272846934449
cardiffnlp/twitter-roberta-base-sentiment,2500.0,1e-06,0.9108635097493036,0.6089272846934449
cardiffnlp/twitter-roberta-base-sentiment,2500.0,1e-06,0.9108635097493036,0.6089272846934449
cardiffnlp/twitter-roberta-base-sentiment,2500.0,5e-06,0.9192200557103064,0.9192100259961976
cardiffnlp/twitter-roberta-base-sentiment,2500.0,5e-06,0.9192200557103064,0.9192100259961976
cardiffnlp/twitter-roberta-base-sentiment,2500.0,5e-06,0.9192200557103064,0.9192100259961976
cardiffnlp/twitter-roberta-base-sentiment,2500.0,1e-05,0.9192200557103064,0.9192100259961976
cardiffnlp/twitter-roberta-base-sentiment,2500.0,1e-05,0.9192200557103064,0.9192100259961976
cardiffnlp/twitter-roberta-base-sentiment,2500.0,1e-05,0.9192200557103064,0.9192100259961976
cardiffnlp/twitter-roberta-base-sentiment,2500.0,5e-05,0.8913649025069638,0.8913649025069638
cardiffnlp/twitter-roberta-base-sentiment,2500.0,5e-05,0.8913649025069638,0.8913649025069638
cardiffnlp/twitter-roberta-base-sentiment,2500.0,5e-05,0.8913649025069638,0.8913649025069638
cardiffnlp/twitter-roberta-base-sentiment,2500.0,0.0001,0.883008356545961,0.8830001862312993
cardiffnlp/twitter-roberta-base-sentiment,2500.0,0.0001,0.883008356545961,0.8830001862312993
cardiffnlp/twitter-roberta-base-sentiment,2500.0,0.0001,0.883008356545961,0.8830001862312993
cardiffnlp/twitter-roberta-base-sentiment,5000.0,1e-06,0.9192200557103064,0.9191974853506152
cardiffnlp/twitter-roberta-base-sentiment,5000.0,1e-06,0.9192200557103064,0.9191974853506152
cardiffnlp/twitter-roberta-base-sentiment,5000.0,1e-06,0.9192200557103064,0.9191974853506152
cardiffnlp/twitter-roberta-base-sentiment,5000.0,5e-06,0.9192200557103064,0.9191799219047176
cardiffnlp/twitter-roberta-base-sentiment,5000.0,5e-06,0.9192200557103064,0.9191799219047176
cardiffnlp/twitter-roberta-base-sentiment,5000.0,5e-06,0.9192200557103064,0.9191799219047176
cardiffnlp/twitter-roberta-base-sentiment,5000.0,1e-05,0.9108635097493036,0.9108462159309616
cardiffnlp/twitter-roberta-base-sentiment,5000.0,1e-05,0.9108635097493036,0.9108462159309616
cardiffnlp/twitter-roberta-base-sentiment,5000.0,1e-05,0.913649025069638,0.9136383036511078
