model_name,data_size,learning_rate,accuracy,f1
distilbert-base-uncased,15000.0,2e-06,0.83008356545961,0.8299516232984679
distilbert-base-uncased,15000.0,3e-06,0.8467966573816156,0.8465633135175039
distilbert-base-uncased,15000.0,4e-06,0.841225626740947,0.8409096209912537
distilbert-base-uncased,15000.0,4.9999999999999996e-06,0.8356545961002786,0.8353275024295432
cardiffnlp/twitter-roberta-base-sentiment,15000.0,0.0001,0.8495821727019499,0.8488491766467066
cardiffnlp/twitter-roberta-base-sentiment,15000.0,1e-05,0.8969359331476323,0.8969071364818193
cardiffnlp/twitter-roberta-base-sentiment,15000.0,1e-06,0.9192200557103064,0.9192100259961975
cardiffnlp/twitter-roberta-base-sentiment,15000.0,2e-06,0.9192200557103064,0.9191974853506151
cardiffnlp/twitter-roberta-base-sentiment,15000.0,3e-06,0.9108635097493036,0.9108462159309616
cardiffnlp/twitter-roberta-base-sentiment,15000.0,4e-06,0.9080779944289693,0.9080665813060179
cardiffnlp/twitter-roberta-base-sentiment,15000.0,4.9999999999999996e-06,0.8997214484679665,0.899701992922332
distilbert-base-uncased,20000.0,0.0001,0.8440111420612814,0.844000248308399
distilbert-base-uncased,20000.0,1e-05,0.8523676880222841,0.8521428293895947
distilbert-base-uncased,20000.0,1e-06,0.8356545961002786,0.8355729445647702
distilbert-base-uncased,20000.0,2e-06,0.8245125348189415,0.824376266685303
distilbert-base-uncased,20000.0,3e-06,0.841225626740947,0.8409096209912537
distilbert-base-uncased,20000.0,4e-06,0.8467966573816156,0.8464917395529641
distilbert-base-uncased,20000.0,4.9999999999999996e-06,0.8467966573816156,0.8464917395529641
cardiffnlp/twitter-roberta-base-sentiment,20000.0,0.0001,0.8579387186629527,0.8574032103553821
cardiffnlp/twitter-roberta-base-sentiment,20000.0,1e-05,0.8969359331476323,0.8969071364818193
cardiffnlp/twitter-roberta-base-sentiment,20000.0,1e-06,0.9164345403899722,0.9164183274352766
cardiffnlp/twitter-roberta-base-sentiment,20000.0,2e-06,0.9192200557103064,0.9191974853506151
cardiffnlp/twitter-roberta-base-sentiment,20000.0,3e-06,0.9080779944289693,0.9080523109162172
cardiffnlp/twitter-roberta-base-sentiment,20000.0,4e-06,0.8941504178272981,0.8941430256378422
cardiffnlp/twitter-roberta-base-sentiment,20000.0,4.9999999999999996e-06,0.8913649025069638,0.8913615307618893
